,feature,imp
0,num__x195,0.027219462210315716
1,num__x70,0.026159907571401395
2,num__x28,0.02236521122183079
3,num__x151,0.02055434233738263
4,num__x143,0.020536725737702283
5,num__x181,0.020422410462115317
6,num__x117,0.01992616668261995
7,num__x97,0.019605101738860563
8,num__x49,0.018754895385769587
9,num__x230,0.01705299991747243
10,num__x107,0.016402993507806257
11,num__x47,0.015665953276130837
12,num__x64,0.015140351429896427
13,num__x160,0.013432251814731733
14,num__x217,0.013325099321554242
15,num__x223,0.013005311464468006
16,num__x115,0.012822971253925518
17,num__x153,0.012803240993865707
18,num__x39,0.011552022694255098
19,num__x215,0.01136048597531752
20,num__x65,0.011139358037316074
21,num__x188,0.010558721635095601
22,num__x7,0.01025364321059598
23,num__x41,0.009987557618825428
24,num__x68,0.00965490857144916
25,num__x110,0.009118290028302086
26,num__x69,0.009104004130312775
27,num__x79,0.008974157003247163
28,num__x33,0.008860675743083768
29,num__x228,0.008617128579823479
30,num__x6,0.00856348610798329
31,num__x52,0.008324353187030552
32,num__x225,0.00804163862177205
33,num__x136,0.007986475557873178
34,num__x184,0.007985725470168833
35,num__x44,0.007457531393447126
36,num__x106,0.007304008774621082
37,num__x61,0.007297443905962673
38,num__x139,0.007278742007797279
39,num__x219,0.007118229476073933
40,num__x34,0.006996997732387181
41,num__x202,0.0069138728867053885
42,num__x42,0.0067677101691568904
43,num__x218,0.006745005151136261
44,num__x85,0.0066611433989051064
45,num__x176,0.0066296609089609
46,num__x127,0.006414524297542158
47,num__x0,0.006393857314518437
48,num__x204,0.006375793940351704
49,num__x205,0.006060168882811725
50,num__x168,0.006044212399652405
51,num__x84,0.005996718329728842
52,num__x24,0.005868197512701138
53,num__x140,0.005804073419741326
54,num__x207,0.005788496349188432
55,num__x108,0.005716957404662549
56,num__x87,0.005640073400268295
57,num__x164,0.005516569855077861
58,num__x234,0.005398909798855465
59,num__x95,0.005182237742253848
60,num__x178,0.005158074148162411
61,num__x182,0.005103776651514985
62,num__x120,0.004947650658097213
63,num__x112,0.004833695201483823
64,num__x31,0.00477907032223466
65,num__x227,0.004746682643132949
66,num__x149,0.004714410492826201
67,num__x206,0.004709484789948575
68,num__x137,0.004443250611695203
69,num__x191,0.004317684521800133
70,num__x57,0.004255390741695687
71,num__x30,0.004091319740995547
72,num__x128,0.004011320312286231
73,num__x83,0.0038758427787591184
74,num__x55,0.003738731096549773
75,num__x86,0.003665089523655244
76,num__x216,0.003664761744079943
77,num__x43,0.0036549549090134676
78,num__x175,0.003605690904573264
79,num__x25,0.003604955624903768
80,num__x203,0.003560410977842583
81,num__x89,0.0035502154210736298
82,num__x123,0.003548815366436917
83,num__x18,0.0035009255531958435
84,num__x125,0.0034949584796158395
85,num__x173,0.0034763825033307764
86,num__x73,0.0034572780812526264
87,num__x74,0.0033984560964496115
88,num__x93,0.003278689437178373
89,num__x35,0.0032434508724018644
90,num__x148,0.0031416637737538534
91,num__x119,0.0031351273718299498
92,num__x141,0.003116124726349009
93,num__x152,0.0031072023610886463
94,num__x63,0.0030821201812371605
95,num__x21,0.00304507238900476
96,num__x210,0.003042870673350392
97,num__x51,0.0029378401332462323
98,num__x109,0.0029374965217116105
99,num__x165,0.0028746789001288884
100,num__x169,0.002830661472043914
101,num__x221,0.002812543716847832
102,num__x122,0.0028004271237542693
103,num__x144,0.0027872580276865535
104,num__x38,0.0027817290724427356
105,num__x138,0.002774156556688124
106,num__x101,0.002766771198878605
107,num__x15,0.002722797864401513
108,num__x4,0.00271146095529399
109,num__x150,0.0026817029950580783
110,num__x197,0.002662800298339581
111,num__x235,0.0026527043978910973
112,num__x157,0.0026280162013947762
113,num__x186,0.002590375531247181
114,num__x105,0.002587640116765956
115,num__x8,0.0025731456656472263
116,num__x62,0.002549494119703622
117,num__x232,0.0025022935677107396
118,num__x161,0.002502121382895426
119,num__x201,0.002499219892540009
120,num__x129,0.002489233012956052
121,num__x198,0.0024567237579572287
122,num__x190,0.002430606778077678
123,num__x46,0.002411114155745722
124,num__x199,0.002400918467470532
125,num__x212,0.0023945845644334726
126,num__x185,0.002381242158193438
127,num__x36,0.002374493828857266
128,num__x37,0.0023633213780399408
129,num__x20,0.0023580081529247527
130,num__x174,0.0023212941928274344
131,num__x100,0.0023059953652420713
132,num__x22,0.0022857960660638997
133,num__x76,0.0022820343936441594
134,num__x9,0.0022634853205616614
135,num__x113,0.0022602500623535786
136,num__x124,0.0022325687214082846
137,num__x142,0.0022203950453882344
138,num__x50,0.0022074647730023645
139,num__x40,0.0021863768575354973
140,num__x189,0.0021774275579642365
141,num__x98,0.0021675194660160184
142,num__x102,0.0021572356795228637
143,num__x59,0.002154387158679093
144,num__x211,0.0021332260033709496
145,num__x96,0.0020051328461102276
146,num__x171,0.002003474974049282
147,num__x177,0.001996030352531023
148,num__x233,0.00189969728571418
149,num__x154,0.0018762341659938767
150,num__x16,0.0018685786289537646
151,num__x91,0.0018602875197894478
152,num__x58,0.001849943924242434
153,num__x134,0.0018469724256114668
154,num__x196,0.0018294845017553763
155,num__x45,0.0018161576521959336
156,num__x66,0.0018089994390147188
157,num__x3,0.0017523290957983941
158,num__x12,0.0017432195656766933
159,num__x126,0.0016958633913890092
160,num__x11,0.0016644395351103746
161,num__x146,0.0016449412935690827
162,num__x32,0.0016091542154984908
163,num__x231,0.0016050261050069077
164,num__x130,0.001599858449136936
165,num__x159,0.001589405297835333
166,num__x180,0.0014731374175270492
167,num__x135,0.001469010622937847
168,num__x132,0.001445670035155341
169,num__x19,0.0014436696798067012
170,num__x220,0.001434342899827657
171,num__x90,0.0013817817084612757
172,num__x224,0.0013666011878455647
173,num__x99,0.0013635073437533226
174,num__x71,0.001340947721554438
175,num__x167,0.0013175452320017935
176,num__x226,0.0013139402985310037
177,num__x209,0.001302007584572682
178,num__x23,0.0012777264959135941
179,num__x193,0.0012638270878003808
180,num__x116,0.0011541152747067192
181,num__x200,0.0011469795684537223
182,num__x81,0.0011163337852520265
183,num__x72,0.0010892238655564109
184,num__x17,0.0010872222066569475
185,num__x131,0.0010682257034457686
186,num__x94,0.0010676898318904091
187,num__x26,0.001053984134791424
188,num__x27,0.0010531517642655332
189,num__x88,0.0010220657006728038
190,num__x222,0.0010183694435440234
191,num__x170,0.0009960172145910345
192,num__x92,0.0009887005951655736
193,num__x194,0.0009736376430103757
194,num__x214,0.0009673084596245592
195,num__x213,0.000966977022288304
196,num__x1,0.0009622873937304665
197,num__x54,0.0009515388003351609
198,num__x172,0.0009254489676504
199,num__x179,0.0008977205129733969
200,num__x77,0.0008976727235212238
201,num__x60,0.0008859671080739631
202,num__x13,0.0008786409117687202
203,num__x82,0.0008679145822133608
204,num__x78,0.0008373712772303289
205,num__x118,0.0008353353588336815
206,num__x187,0.0008309047852410724
207,num__x133,0.0007262930021051415
208,num__x147,0.0007261690419242384
209,num__x156,0.0007021116039786126
210,num__x104,0.0006057421465965238
211,num__x103,0.0005877812645136917
212,num__x53,0.000552920929657628
213,num__x5,0.0005158477386440674
214,num__x48,0.0004558905391183108
215,num__x162,0.0004236040975311866
216,num__x2,0.00039769095412328816
217,num__x158,0.00038556340248401563
218,num__x192,0.0003685007220367681
219,num__x166,0.00035910700161633944
220,num__x111,0.0003493570130652709
221,num__x56,0.00034801153496280464
222,num__x183,0.0003391838892047234
223,num__x229,0.00033624916779398796
224,num__x67,0.000322947504839209
225,num__x14,0.00032081136413056983
226,num__x80,0.00031727050826468796
227,num__x114,0.0002607134331502993
228,num__x121,0.0002108751317969574
229,num__x208,0.00016700066800267202
230,num__x75,0.0001498464074323818
231,num__x163,0.00014672686230248312
232,num__x29,0.00013978975620666518
233,num__x10,0.00011291779584462511
234,num__x155,3.752063634999248e-05
235,num__x145,0.0
