feature,imp
num__mean radius,0.33304045
num__mean compactness,0.27372122
num__perimeter error,0.2262575
num__mean smoothness,0.04762718
num__mean fractal dimension,0.045522455
num__worst texture,0.044598613
num__worst smoothness,0.029232588
num__mean area,0.0
num__concavity error,0.0
num__concave points error,0.0
num__mean concavity,0.0
num__fractal dimension error,0.0
num__area error,0.0
num__compactness error,0.0
num__mean symmetry,0.0
num__mean perimeter,0.0
num__mean concave points,0.0
num__mean texture,0.0
num__symmetry error,0.0
num__texture error,0.0
num__radius error,0.0
num__smoothness error,0.0
num__worst compactness,0.0
num__worst area,0.0
num__worst concave points,0.0
num__worst concavity,0.0
num__worst perimeter,0.0
num__worst fractal dimension,0.0
num__worst radius,0.0
num__worst symmetry,0.0
