num_top_features,hid,layers,cost,epoch_converged,total_time,epoch,lr,k,p,r,train_count,seed
0.0,64,2,0.9036207078589528,1,9.043665885925291,1000,0.01,1.0,,,10.0,42.0
0.0,64,2,0.9425709113248916,1,9.018226146697998,1000,0.01,5.0,,,10.0,42.0
0.0,64,2,0.9260681316221804,1,9.038402557373049,1000,0.01,10.0,,,10.0,42.0
0.0,64,2,0.8659949183619062,0,9.01250672340393,1000,0.01,15.0,,,10.0,42.0
0.0,64,2,0.9410474237541908,4,9.032404899597168,1000,0.01,20.0,,,10.0,42.0
0.0,64,2,0.6560769068077291,0,9.04041600227356,1000,0.01,25.0,,,10.0,42.0
0.0,64,2,0.719603042584409,0,9.081426858901978,1000,0.01,30.0,,,10.0,42.0
0.0,64,2,0.9299399079556612,6,8.994115114212036,1000,0.01,35.0,,,10.0,42.0
0.0,64,2,0.9351607063345548,1,9.04875898361206,1000,0.01,40.0,,,10.0,42.0
0.0,64,2,0.90808198741753,1,8.96216893196106,1000,0.001,1.0,,,10.0,42.0
0.0,64,2,0.8919818086435101,7,8.980157852172852,1000,0.001,5.0,,,10.0,42.0
0.0,64,2,0.9007285464109324,0,9.023879528045654,1000,0.001,10.0,,,10.0,42.0
0.0,64,2,0.9150517756620392,1,8.978939771652222,1000,0.001,15.0,,,10.0,42.0
0.0,64,2,0.9225031123931072,1,8.93460202217102,1000,0.001,20.0,,,10.0,42.0
0.0,64,2,0.9297647250410712,1,8.943360328674316,1000,0.001,25.0,,,10.0,42.0
0.0,64,2,0.8665925189291774,1,9.046620845794678,1000,0.001,30.0,,,10.0,42.0
0.0,64,2,0.9082516884288756,5,8.973655462265015,1000,0.001,35.0,,,10.0,42.0
0.0,64,2,0.9280089314825064,1,9.053859949111938,1000,0.001,40.0,,,10.0,42.0
1.0,64,2,0.8711364623218726,0,9.174381017684937,1000,0.01,1.0,,,10.0,42.0
1.0,64,2,0.8758790664118619,0,9.108033895492554,1000,0.01,5.0,,,10.0,42.0
1.0,64,2,0.8836136696632403,1,9.227641582489014,1000,0.01,10.0,,,10.0,42.0
1.0,64,2,0.8651331471704393,1,9.26893424987793,1000,0.01,15.0,,,10.0,42.0
1.0,64,2,0.8753692902841727,3,9.237079620361328,1000,0.01,20.0,,,10.0,42.0
1.0,64,2,0.8687126707548073,1,9.249048233032228,1000,0.01,25.0,,,10.0,42.0
1.0,64,2,0.867148192673898,1,9.216780424118042,1000,0.01,30.0,,,10.0,42.0
1.0,64,2,0.8635671891768136,1,9.225797653198242,1000,0.01,35.0,,,10.0,42.0
1.0,64,2,0.8682076225319826,1,9.17270040512085,1000,0.01,40.0,,,10.0,42.0
1.0,64,2,0.7552383861907671,0,9.172045707702637,1000,0.001,1.0,,,10.0,42.0
1.0,64,2,0.8857169628969258,1,9.160011768341064,1000,0.001,5.0,,,10.0,42.0
1.0,64,2,0.8696416387869079,1,9.220159530639648,1000,0.001,10.0,,,10.0,42.0
1.0,64,2,0.8796956668081471,0,9.12277102470398,1000,0.001,15.0,,,10.0,42.0
1.0,64,2,0.875402433700753,1,9.211357831954956,1000,0.001,20.0,,,10.0,42.0
1.0,64,2,0.8773807456514223,1,9.176066160202026,1000,0.001,25.0,,,10.0,42.0
1.0,64,2,0.8629764265760043,1,9.213151931762695,1000,0.001,30.0,,,10.0,42.0
1.0,64,2,0.8651331471704393,0,9.197502613067629,1000,0.001,35.0,,,10.0,42.0
1.0,64,2,0.8665517493431654,0,9.163842678070068,1000,0.001,40.0,,,10.0,42.0
3.0,64,2,0.9003611445054234,1,9.145053386688232,1000,0.01,1.0,,,10.0,42.0
3.0,64,2,0.8648507460653465,1,9.108902215957642,1000,0.01,5.0,,,10.0,42.0
3.0,64,2,0.9005175275851969,2,9.150314331054688,1000,0.01,10.0,,,10.0,42.0
3.0,64,2,0.8987862913796414,1,9.104989051818848,1000,0.01,15.0,,,10.0,42.0
3.0,64,2,0.8611658553859755,0,9.109121561050417,1000,0.01,20.0,,,10.0,42.0
3.0,64,2,0.8803837989032126,6,7.202775239944458,1000,0.01,25.0,,,10.0,42.0
3.0,64,2,0.8967535485662375,2,6.521172761917114,1000,0.01,30.0,,,10.0,42.0
3.0,64,2,0.8975779276997973,18,9.157243967056274,1000,0.01,35.0,,,10.0,42.0
3.0,64,2,0.9056079043187524,2,9.231714725494385,1000,0.01,40.0,,,10.0,42.0
3.0,64,2,0.9098277868654988,1,5.78707480430603,1000,0.001,1.0,,,10.0,42.0
3.0,64,2,0.8847071296050888,1,5.398522615432739,1000,0.001,5.0,,,10.0,42.0
3.0,64,2,0.8375907461058762,4,5.033536195755005,1000,0.001,10.0,,,10.0,42.0
3.0,64,2,0.7568395547241784,7,5.163759469985962,1000,0.001,15.0,,,10.0,42.0
3.0,64,2,0.8884109605908772,1,5.235605716705322,1000,0.001,20.0,,,10.0,42.0
3.0,64,2,0.8844006731004661,1,5.201253890991211,1000,0.001,25.0,,,10.0,42.0
3.0,64,2,0.8826273731183064,1,5.255502462387085,1000,0.001,30.0,,,10.0,42.0
3.0,64,2,0.8248168085314143,108,5.305173635482788,1000,0.001,35.0,,,10.0,42.0
3.0,64,2,0.8702069120350149,1,5.216766119003296,1000,0.001,40.0,,,10.0,42.0
5.0,64,2,0.8782191766177398,1,5.304583549499512,1000,0.01,1.0,,,10.0,42.0
5.0,64,2,0.9035250463821892,2,9.148415803909302,1000,0.01,5.0,,,10.0,42.0
5.0,64,2,0.911336846855644,2,9.177226543426514,1000,0.01,10.0,,,10.0,42.0
5.0,64,2,0.86658238209212,1,9.183058977127075,1000,0.01,15.0,,,10.0,42.0
5.0,64,2,0.8392062626882243,1,9.175716400146484,1000,0.01,20.0,,,10.0,42.0
5.0,64,2,0.915582411733048,2,9.127682209014893,1000,0.01,25.0,,,10.0,42.0
5.0,64,2,0.8171932478219714,5,9.193505048751833,1000,0.01,30.0,,,10.0,42.0
5.0,64,2,0.8933028965519016,11,9.20043659210205,1000,0.01,35.0,,,10.0,42.0
5.0,64,2,0.7838546430095725,12,9.24013900756836,1000,0.01,40.0,,,10.0,42.0
5.0,64,2,0.892891369313006,1,9.16639280319214,1000,0.001,1.0,,,10.0,42.0
5.0,64,2,0.9070423052729544,2,9.16070795059204,1000,0.001,5.0,,,10.0,42.0
5.0,64,2,0.896900532813784,3,9.145772457122805,1000,0.001,10.0,,,10.0,42.0
5.0,64,2,0.9156928414813388,9,9.223509311676024,1000,0.001,15.0,,,10.0,42.0
5.0,64,2,0.875569191237206,3,9.120099067687988,1000,0.001,20.0,,,10.0,42.0
5.0,64,2,0.9052336481660896,0,9.130613803863524,1000,0.001,25.0,,,10.0,42.0
5.0,64,2,0.8521893307255728,2,9.11692190170288,1000,0.001,30.0,,,10.0,42.0
5.0,64,2,0.8951057928843558,1,9.343614101409912,1000,0.001,35.0,,,10.0,42.0
5.0,64,2,0.8830574678804917,12,9.318179607391356,1000,0.001,40.0,,,10.0,42.0
10.0,64,2,0.9325104059176724,19,9.201823472976685,1000,0.01,1.0,,,10.0,42.0
10.0,64,2,0.8877447958937842,2,9.269331932067873,1000,0.01,5.0,,,10.0,42.0
10.0,64,2,0.9440371165693948,1,9.25093674659729,1000,0.01,10.0,,,10.0,42.0
10.0,64,2,0.801879809358237,5,9.24107575416565,1000,0.01,15.0,,,10.0,42.0
10.0,64,2,0.8770918640626565,6,9.32296633720398,1000,0.01,20.0,,,10.0,42.0
10.0,64,2,0.7577844574522316,1,9.292368173599243,1000,0.01,25.0,,,10.0,42.0
10.0,64,2,0.8629375194477851,49,9.272313833236694,1000,0.01,30.0,,,10.0,42.0
