num_top_features,hid,layers,cost,epoch_converged,total_time,epoch,lr,k,p,r,train_count,seed
0.0,64,2,0.2537235110626227,0,4.703370332717896,1000,0.01,1.0,,,120.0,42.0
0.0,64,2,0.3937945442642221,0,4.976434469223023,1000,0.01,5.0,,,120.0,42.0
0.0,64,2,0.337924276912448,0,4.52451753616333,1000,0.01,10.0,,,120.0,42.0
0.0,64,2,0.3890565029377821,0,4.706345319747925,1000,0.01,15.0,,,120.0,42.0
0.0,64,2,0.3691231062642811,0,4.699322938919067,1000,0.01,20.0,,,120.0,42.0
0.0,64,2,0.2898516134563829,0,4.989638328552246,1000,0.01,25.0,,,120.0,42.0
0.0,64,2,0.3490353914104454,0,4.7559428215026855,1000,0.01,30.0,,,120.0,42.0
0.0,64,2,0.375486333734627,0,4.745710134506226,1000,0.01,35.0,,,120.0,42.0
0.0,64,2,0.3922048832961621,0,4.5184526443481445,1000,0.01,40.0,,,120.0,42.0
0.0,64,2,0.3745672352353583,0,4.9074866771698,1000,0.001,1.0,,,120.0,42.0
0.0,64,2,0.3105661796408364,0,4.7872350215911865,1000,0.001,5.0,,,120.0,42.0
0.0,64,2,0.3445511091854757,0,5.040484428405762,1000,0.001,10.0,,,120.0,42.0
0.0,64,2,0.3569337228979113,0,4.595967531204224,1000,0.001,15.0,,,120.0,42.0
0.0,64,2,0.3782160891269389,0,4.857518672943115,1000,0.001,20.0,,,120.0,42.0
0.0,64,2,0.3137772817992584,0,4.581190824508667,1000,0.001,25.0,,,120.0,42.0
0.0,64,2,0.3010924068301393,1,5.073249816894531,1000,0.001,30.0,,,120.0,42.0
0.0,64,2,0.3692311379301339,0,4.941158771514893,1000,0.001,35.0,,,120.0,42.0
0.0,64,2,0.2903780802935422,0,4.618112802505493,1000,0.001,40.0,,,120.0,42.0
1.0,64,2,0.2835986083834054,86,5.81598973274231,1000,0.01,1.0,,,120.0,42.0
1.0,64,2,0.0652995555555555,207,11.053276777267456,1000,0.01,5.0,,,120.0,42.0
1.0,64,2,0.0866953696181965,685,18.82016897201538,1000,0.01,10.0,,,120.0,42.0
1.0,64,2,0.0129027149321266,479,26.55323100090027,1000,0.01,15.0,,,120.0,42.0
1.0,64,2,0.064624865114845,638,33.98743557929993,1000,0.01,20.0,,,120.0,42.0
1.0,64,2,0.1838893412115008,130,40.96715760231018,1000,0.01,25.0,,,120.0,42.0
1.0,64,2,0.2331799097848716,231,48.88788962364197,1000,0.01,30.0,,,120.0,42.0
1.0,64,2,0.1960951448351248,443,56.278725147247314,1000,0.01,35.0,,,120.0,42.0
1.0,64,2,0.1960951448351248,109,63.39320945739746,1000,0.01,40.0,,,120.0,42.0
1.0,64,2,0.0875267053081889,51,5.882372140884399,1000,0.001,1.0,,,120.0,42.0
1.0,64,2,0.0740637073860503,292,10.946079730987549,1000,0.001,5.0,,,120.0,42.0
1.0,64,2,0.0570570279801777,625,18.73308777809143,1000,0.001,10.0,,,120.0,42.0
1.0,64,2,0.1967381244881245,52,26.291273832321167,1000,0.001,15.0,,,120.0,42.0
1.0,64,2,0.064624865114845,784,33.774131536483765,1000,0.001,20.0,,,120.0,42.0
