,feature,imp
0,num__x495,0.02330293366793826
1,num__x1263,0.02143877293690783
2,num__x507,0.01673427065668029
3,num__x750,0.015106325785406619
4,num__x581,0.013249794440542337
5,num__x725,0.01273201359471983
6,num__x19,0.012154207077343791
7,num__x4,0.011340293399134456
8,num__x774,0.010185001249234042
9,num__x758,0.009994380374459736
10,num__x911,0.00829704767122435
11,num__x1132,0.007948925843270256
12,num__x51,0.0076613218621816035
13,num__x874,0.007581535110804367
14,num__x814,0.0073377034827935405
15,num__x510,0.007205273419932987
16,num__x485,0.007171605078259052
17,num__x1177,0.006796247371012295
18,num__x1209,0.0065080037594857035
19,num__x187,0.006427288884580732
20,num__x99,0.006163817649546199
21,num__x1131,0.00587751538556019
22,num__x860,0.005631129642728592
23,num__x1005,0.0055006407607788065
24,num__x168,0.005093275272084815
25,num__x1071,0.005044459678666361
26,num__x505,0.004872643113535152
27,num__x353,0.0048025694762104205
28,num__x1155,0.00467337611299448
29,num__x1336,0.004619873647632414
30,num__x1211,0.004502607404910811
31,num__x1149,0.004494731305902854
32,num__x1290,0.0044876586512933095
33,num__x1138,0.004260971854242071
34,num__x1075,0.004246402900015422
35,num__x1305,0.004220327589448294
36,num__x540,0.004116118967724254
37,num__x648,0.00411326214726954
38,num__x1175,0.004087285593662727
39,num__x416,0.004048682408019083
40,num__x1170,0.004018564383039932
41,num__x474,0.003999655816592293
42,num__x1198,0.0038853131053598927
43,num__x1352,0.0038354279833792194
44,num__x647,0.0037217089341258602
45,num__x140,0.0036679214710101525
46,num__x877,0.003655334044372382
47,num__x698,0.0036498351056875795
48,num__x1353,0.003568856874270594
49,num__x829,0.0035241442690593138
50,num__x728,0.0035032511701604315
51,num__x1259,0.003428835211039848
52,num__x615,0.003348572191320125
53,num__x1203,0.003302398819034982
54,num__x819,0.003294820409337561
55,num__x1246,0.0031825163384696076
56,num__x118,0.0031664944631821608
57,num__x287,0.0031125025343416734
58,num__x1257,0.003105141756321864
59,num__x1174,0.0030997986637293817
60,num__x1392,0.0030679566874691256
61,num__x1348,0.0030577696270659843
62,num__x1386,0.003026973663020367
63,num__x398,0.0029737723495347115
64,num__x1262,0.002966795798511817
65,num__x971,0.0029636025827368064
66,num__x588,0.002962911488053716
67,num__x456,0.0028349092798502142
68,num__x1301,0.0027778509917185117
69,num__x1266,0.002776539615362882
70,num__x135,0.0027506532685484465
71,num__x985,0.0027369758788734237
72,num__x292,0.0027126962238864364
73,num__x469,0.002680629161471689
74,num__x1328,0.002650387586957739
75,num__x61,0.002611650136258751
76,num__x912,0.00259868780735343
77,num__x1254,0.0025918996272709578
78,num__x331,0.002571618536037283
79,num__x1274,0.002538161734873086
80,num__x1123,0.0025121878842928953
81,num__x228,0.0024664328521954294
82,num__x1171,0.0024310484831994174
83,num__x1387,0.0024144724465443306
84,num__x969,0.0023950915559906986
85,num__x1119,0.002392231674183599
86,num__x45,0.002386783267180736
87,num__x88,0.0023769292145103156
88,num__x225,0.0023611123877939778
89,num__x780,0.002357127516324319
90,num__x128,0.0023520103672659224
91,num__x429,0.002341934066543285
92,num__x619,0.002336692904666101
93,num__x1331,0.0023336446658084125
94,num__x211,0.002333134433359262
95,num__x1292,0.0023219440773381635
96,num__x643,0.0023073809417927097
97,num__x1076,0.002291306886407924
98,num__x666,0.002261655041359262
99,num__x108,0.002249954779741428
100,num__x497,0.002242826093600919
101,num__x359,0.0021913958022640027
102,num__x593,0.0021801284514986028
103,num__x1330,0.002169185196647828
104,num__x52,0.002119168626921374
105,num__x1117,0.0021022659494607256
106,num__x900,0.0020900296734519723
107,num__x44,0.002066735900314985
108,num__x1299,0.002055597618632554
109,num__x132,0.002054792078550841
110,num__x1308,0.0020515888331901315
111,num__x378,0.002047172822625731
112,num__x724,0.0020452181725709615
113,num__x404,0.002001986272506004
114,num__x935,0.0020000151892825475
115,num__x1118,0.0019992816163291204
116,num__x699,0.001972397509795222
117,num__x403,0.0019634737738719226
118,num__x509,0.0019512880190563297
119,num__x428,0.001935299331070068
120,num__x247,0.0019215133635739963
121,num__x1426,0.0019115900431697162
122,num__x368,0.0019086202971517097
123,num__x701,0.0019062330980536548
124,num__x1230,0.0019050337763644946
125,num__x130,0.0019009589477570208
126,num__x1381,0.0018932124471490364
127,num__x763,0.0018846347560199995
128,num__x1351,0.00187891865305005
129,num__x605,0.0018754498585661589
130,num__x48,0.001871542359250629
131,num__x93,0.0018465850156619092
132,num__x1172,0.0018335421615410033
133,num__x749,0.001831067354718744
134,num__x336,0.0018299959349617784
135,num__x810,0.0018266184782451441
136,num__x39,0.0018264001560379423
137,num__x351,0.0018233560812225171
138,num__x1425,0.0018156301895326061
139,num__x1054,0.0018024550582318203
140,num__x12,0.0017849788651293627
141,num__x1058,0.0017819200919961325
142,num__x645,0.0017778908880129206
143,num__x179,0.0017770954315095202
144,num__x764,0.001758332206366752
145,num__x217,0.0017496034054272614
146,num__x738,0.001741514812628297
147,num__x586,0.0017381675395851618
148,num__x89,0.001721468862667703
149,num__x947,0.0017127970615084614
150,num__x1057,0.0017115355007008997
151,num__x1097,0.001704883702874793
152,num__x548,0.001701196002669112
153,num__x744,0.0016998790161421586
154,num__x313,0.0016929460685735193
155,num__x1140,0.0016914090502705447
156,num__x1072,0.0016882078590036349
157,num__x475,0.0016801671363435371
158,num__x1332,0.0016799449827209672
159,num__x234,0.001666543492457344
160,num__x1424,0.0016565704051988807
161,num__x1144,0.0016562037055106833
162,num__x624,0.0016484861836829421
163,num__x1147,0.0016272527991650818
164,num__x1,0.001626828029218644
165,num__x894,0.0016203013106009035
166,num__x827,0.001612974112520475
167,num__x395,0.0016095924721297734
168,num__x547,0.0016047542342223645
169,num__x126,0.0015958146267008191
170,num__x1338,0.001595342848780965
171,num__x1049,0.0015856362304382593
172,num__x1317,0.001579510718502449
173,num__x702,0.0015700267516239044
174,num__x715,0.0015632396421778518
175,num__x1320,0.0015587964044636215
176,num__x1397,0.0015534887453678076
177,num__x26,0.001552409969316235
178,num__x1339,0.001514462091862475
179,num__x258,0.0015069262584232312
180,num__x1267,0.0015028741182152431
181,num__x694,0.001493222239841048
182,num__x38,0.0014920343482773912
183,num__x1148,0.0014906619099367302
184,num__x1373,0.0014842404348215405
185,num__x467,0.001481523533473362
186,num__x417,0.0014784835607198662
187,num__x634,0.0014650564666325626
188,num__x25,0.0014649609630152092
189,num__x537,0.0014638342000933774
190,num__x1248,0.001462384272845841
191,num__x1060,0.0014585247397111364
192,num__x196,0.0014580557186356336
193,num__x232,0.0014494946557680483
194,num__x1431,0.0014452342940897828
195,num__x315,0.0014367422729710515
196,num__x978,0.0014292596077275384
197,num__x675,0.001403637337936005
198,num__x922,0.0014009355041951172
199,num__x283,0.0013984726043878746
200,num__x1151,0.0013863829346363026
201,num__x1359,0.001375723303195005
202,num__x461,0.0013739713996672375
203,num__x1178,0.0013669421649975461
204,num__x472,0.0013640967084415886
205,num__x1333,0.001357786578500755
206,num__x35,0.001352951928555777
207,num__x1340,0.001347190169919559
208,num__x729,0.0013445313011214454
209,num__x387,0.0013396569981430218
210,num__x451,0.0013372484504088511
211,num__x943,0.0013361874308136727
212,num__x1159,0.0013341874538227308
213,num__x808,0.0013296045750037508
214,num__x720,0.001328568869632131
215,num__x1207,0.0013264375406668943
216,num__x1022,0.00131928109409982
217,num__x1247,0.0013164426162952392
218,num__x192,0.0013135204411078444
219,num__x596,0.0013112788678798371
220,num__x1240,0.0013089916291269541
221,num__x754,0.0013034328510911966
222,num__x58,0.001285377531407767
223,num__x302,0.0012748220850982697
224,num__x237,0.0012700386464527963
225,num__x1212,0.0012667009425092837
226,num__x78,0.0012650885863541188
227,num__x205,0.001247148137274888
228,num__x942,0.0012445683100203127
229,num__x23,0.0012384439386129772
230,num__x65,0.0012375817583330081
231,num__x906,0.0012220848003325054
232,num__x1205,0.001216106480741829
233,num__x250,0.001205010600854084
234,num__x945,0.0012018401705146153
235,num__x999,0.0011975725575104883
236,num__x1325,0.0011908291031805065
237,num__x1081,0.0011869004644969948
238,num__x893,0.0011856552982127196
239,num__x27,0.0011847718649010755
240,num__x489,0.0011758022936563094
241,num__x925,0.0011651737324406414
242,num__x915,0.0011609381111646966
243,num__x1423,0.0011599213522471743
244,num__x1355,0.0011533387859806344
245,num__x121,0.001148559777101942
246,num__x923,0.0011483027867801266
247,num__x1253,0.0011468110435188584
248,num__x1389,0.001144322673740036
249,num__x1316,0.0011413754374127105
250,num__x1249,0.0011369311900851096
251,num__x468,0.0011349052606134122
252,num__x1345,0.0011299597215772808
253,num__x1384,0.001127175962064774
254,num__x714,0.001119287378148441
255,num__x786,0.0011177311365207
256,num__x1255,0.0011132055951446412
257,num__x338,0.0011130259720093453
258,num__x700,0.0011122470535430628
259,num__x573,0.0011120047422640497
260,num__x1096,0.0011117297463214906
261,num__x337,0.001109076653958343
262,num__x723,0.0011057583104871283
263,num__x332,0.0010997330673086121
264,num__x644,0.001097748870495137
265,num__x926,0.001095688073541187
266,num__x1194,0.001089721985343189
267,num__x3,0.001086720398371613
268,num__x1418,0.001084308607154565
269,num__x777,0.001083479651265564
270,num__x1427,0.001078772319128697
271,num__x151,0.001068371327281382
272,num__x1116,0.0010666701209470467
273,num__x1094,0.0010648981055830188
274,num__x407,0.0010632092769016558
275,num__x1314,0.001062431410382181
276,num__x464,0.0010600393146691772
277,num__x567,0.001057819425408968
278,num__x756,0.001057090525327204
279,num__x743,0.0010513864402547169
280,num__x1078,0.001039585517110786
281,num__x623,0.0010390609444557194
282,num__x578,0.0010374092750781794
283,num__x1091,0.001032837726554351
284,num__x1127,0.0010322629291699664
285,num__x813,0.0010303911831278962
286,num__x987,0.0010116730205322081
287,num__x1334,0.0010086639233651772
288,num__x939,0.0010011509504167498
289,num__x1371,0.0009907769402674213
290,num__x1229,0.0009877298410700655
291,num__x1228,0.0009857308108145446
292,num__x1379,0.0009837500303641574
