num_top_features,hid,layers,cost,epoch_converged,total_time,epoch,lr,k,p,r,train_count,seed
0.0,64,2,0.3594155117839435,8,34.27714204788208,1000,0.01,1.0,,,140.0,42.0
0.0,64,2,0.318127669881651,0,35.612242698669434,1000,0.01,5.0,,,140.0,42.0
0.0,64,2,0.3091538688767866,0,34.56666398048401,1000,0.01,10.0,,,140.0,42.0
0.0,64,2,0.3251319664750107,0,34.349202156066895,1000,0.01,15.0,,,140.0,42.0
0.0,64,2,0.3495210849771513,0,34.484601974487305,1000,0.01,20.0,,,140.0,42.0
0.0,64,2,0.3959832576169812,0,36.24217176437378,1000,0.01,25.0,,,140.0,42.0
0.0,64,2,0.3885334227750449,0,34.02316188812256,1000,0.01,30.0,,,140.0,42.0
0.0,64,2,0.3692764608174498,0,35.88709855079651,1000,0.01,35.0,,,140.0,42.0
0.0,64,2,0.3452768794545079,1,36.09741711616516,1000,0.01,40.0,,,140.0,42.0
0.0,64,2,0.3965552883551028,0,36.437620401382446,1000,0.001,1.0,,,140.0,42.0
0.0,64,2,0.3176962184227037,0,41.38942289352417,1000,0.001,5.0,,,140.0,42.0
0.0,64,2,0.3095932041589153,0,35.207062005996704,1000,0.001,10.0,,,140.0,42.0
0.0,64,2,0.3147206904398417,0,35.86324143409729,1000,0.001,15.0,,,140.0,42.0
0.0,64,2,0.360661324259482,0,32.58946514129639,1000,0.001,20.0,,,140.0,42.0
0.0,64,2,0.2509553012530446,0,34.795154333114624,1000,0.001,25.0,,,140.0,42.0
0.0,64,2,0.3096996253817878,0,35.641838788986206,1000,0.001,30.0,,,140.0,42.0
0.0,64,2,0.3110497668401296,0,35.615132570266724,1000,0.001,35.0,,,140.0,42.0
0.0,64,2,0.3868606974183642,0,35.0550971031189,1000,0.001,40.0,,,140.0,42.0
1.0,64,2,0.3643030347589088,0,35.76060628890991,1000,0.01,1.0,,,140.0,42.0
1.0,64,2,0.1167260847066665,28,46.89859390258789,1000,0.01,5.0,,,140.0,42.0
1.0,64,2,0.1001053115383078,92,67.08015751838684,1000,0.01,10.0,,,140.0,42.0
1.0,64,2,0.1088843789989726,567,87.87522673606873,1000,0.01,15.0,,,140.0,42.0
1.0,64,2,0.1167260847066665,44,107.98323130607604,1000,0.01,20.0,,,140.0,42.0
1.0,64,2,0.1422864370370984,52,133.15319967269895,1000,0.01,25.0,,,140.0,42.0
1.0,64,2,0.1422864370370984,50,153.98602652549744,1000,0.01,30.0,,,140.0,42.0
1.0,64,2,0.0362517482517482,43,178.52829027175903,1000,0.01,35.0,,,140.0,42.0
1.0,64,2,0.0151805682859761,1,199.0605111122132,1000,0.01,40.0,,,140.0,42.0
1.0,64,2,0.2439093191240042,4,37.71356701850891,1000,0.001,1.0,,,140.0,42.0
1.0,64,2,0.1088843789989726,35,49.92627310752869,1000,0.001,5.0,,,140.0,42.0
1.0,64,2,0.1422864370370984,47,69.897132396698,1000,0.001,10.0,,,140.0,42.0
1.0,64,2,0.0322519083969465,57,89.72113561630249,1000,0.001,15.0,,,140.0,42.0
1.0,64,2,0.1329244747686279,56,110.42367720603944,1000,0.001,20.0,,,140.0,42.0
1.0,64,2,0.0322519083969465,63,133.7340967655182,1000,0.001,25.0,,,140.0,42.0
1.0,64,2,0.1422864370370984,338,156.08235716819763,1000,0.001,30.0,,,140.0,42.0
1.0,64,2,0.1088843789989726,50,179.7599754333496,1000,0.001,35.0,,,140.0,42.0
1.0,64,2,0.0228856329225003,0,200.8013060092926,1000,0.001,40.0,,,140.0,42.0
3.0,64,2,0.2669248753112,24,38.035430908203125,1000,0.01,1.0,,,140.0,42.0
3.0,64,2,0.1214541530514071,9,50.46925210952759,1000,0.01,5.0,,,140.0,42.0
3.0,64,2,0.1080518126272912,63,71.15335464477539,1000,0.01,10.0,,,140.0,42.0
3.0,64,2,0.0635964280119066,11,94.10714173316956,1000,0.01,15.0,,,140.0,42.0
3.0,64,2,0.1293529831850938,164,114.53446698188782,1000,0.01,20.0,,,140.0,42.0
3.0,64,2,0.0537856000369919,22,135.89679408073425,1000,0.01,25.0,,,140.0,42.0
3.0,64,2,0.1329244747686279,27,156.0922737121582,1000,0.01,30.0,,,140.0,42.0
3.0,64,2,0.1268787117723208,12,176.64176893234253,1000,0.01,35.0,,,140.0,42.0
3.0,64,2,0.1080745829244357,16,187.90898895263672,1000,0.01,40.0,,,140.0,42.0
3.0,64,2,0.4499599008803691,2,37.47756242752075,1000,0.001,1.0,,,140.0,42.0
3.0,64,2,0.1088843789989726,13,48.97071290016174,1000,0.001,5.0,,,140.0,42.0
3.0,64,2,0.1362406740407913,23,70.13118863105774,1000,0.001,10.0,,,140.0,42.0
3.0,64,2,0.1422864370370984,17,92.47873449325562,1000,0.001,15.0,,,140.0,42.0
3.0,64,2,0.2591555018394001,9,113.42436122894289,1000,0.001,20.0,,,140.0,42.0
3.0,64,2,0.2199133138486412,12,133.87505531311035,1000,0.001,25.0,,,140.0,42.0
3.0,64,2,0.0863513559107587,25,160.14966869354248,1000,0.001,30.0,,,140.0,42.0
3.0,64,2,0.1028386160026655,13,174.4299635887146,1000,0.001,35.0,,,140.0,42.0
3.0,64,2,0.0759410309333538,32,193.8608386516571,1000,0.001,40.0,,,140.0,42.0
5.0,64,2,0.4544392962859301,2,38.300498247146606,1000,0.01,1.0,,,140.0,42.0
5.0,64,2,0.1550705913320842,48,49.759220123291016,1000,0.01,5.0,,,140.0,42.0
5.0,64,2,0.23525754828745,15,68.50813102722168,1000,0.01,10.0,,,140.0,42.0
5.0,64,2,0.3270697014093898,5,91.86825466156006,1000,0.01,15.0,,,140.0,42.0
5.0,64,2,0.246743050600972,7,113.33589386940002,1000,0.01,20.0,,,140.0,42.0
5.0,64,2,0.338552613068315,27,130.97828722000122,1000,0.01,25.0,,,140.0,42.0
5.0,64,2,0.2348919160076717,15,151.612610578537,1000,0.01,30.0,,,140.0,42.0
5.0,64,2,0.1959608661773629,10,174.25431299209595,1000,0.01,35.0,,,140.0,42.0
5.0,64,2,0.1613673818984547,5,195.05651307106007,1000,0.01,40.0,,,140.0,42.0
5.0,64,2,0.3889980900356558,3,38.12830853462219,1000,0.001,1.0,,,140.0,42.0
5.0,64,2,0.1589772932330826,23,49.67728590965271,1000,0.001,5.0,,,140.0,42.0
5.0,64,2,0.1807234166361863,13,70.68775725364685,1000,0.001,10.0,,,140.0,42.0
5.0,64,2,0.1477449799554867,17,91.23433756828308,1000,0.001,15.0,,,140.0,42.0
5.0,64,2,0.1486060451591227,8,113.51357674598694,1000,0.001,20.0,,,140.0,42.0
5.0,64,2,0.1457026236357323,31,132.17847990989685,1000,0.001,25.0,,,140.0,42.0
5.0,64,2,0.2069104239730216,27,152.72972321510315,1000,0.001,30.0,,,140.0,42.0
5.0,64,2,0.1624958511541097,13,172.65912628173828,1000,0.001,35.0,,,140.0,42.0
5.0,64,2,0.3614425004226134,14,189.8482725620269,1000,0.001,40.0,,,140.0,42.0
10.0,64,2,0.4776204664471408,0,38.95127820968628,1000,0.01,1.0,,,140.0,42.0
10.0,64,2,0.4513366461843731,0,48.35867786407471,1000,0.01,5.0,,,140.0,42.0
10.0,64,2,0.3062755376535339,0,68.000972032547,1000,0.01,10.0,,,140.0,42.0
10.0,64,2,0.3736397821760552,2,87.13734555244446,1000,0.01,15.0,,,140.0,42.0
