,feature,imp
0,num__hue,0.13422777637388075
1,num__color_intensity,0.10611514985402046
2,num__total_phenols,0.09540623889284237
3,num__malic_acid,0.08947082412920061
4,num__magnesium,0.08458214231803243
5,num__proline,0.07522074920041259
6,num__proanthocyanins,0.07274120768480442
7,num__flavanoids,0.06401141359567389
8,num__alcalinity_of_ash,0.06029005257181492
9,num__od280/od315_of_diluted_wines,0.05969542276411019
10,num__ash,0.058476347939263554
11,num__nonflavanoid_phenols,0.050926023793561793
12,num__alcohol,0.04883665088238206
